,id,Торг_точка_чистый_адрес
555,555,-
556,556,-
557,557,"344113,г.ростов-на-дону, космонавт 34 в"
558,558,-
559,559,-
560,560,-
561,561,г. ростов-на-дону ул. мичуринский 50/33
562,562,-
563,563,азовский р-он с кагальник ул.советский 61
564,564,-
565,565,-
566,566,-
567,567,г.ростов-на-дону. ул.мечников 75
568,568,-
569,569,-
570,570,-
571,571,-
572,572,-
573,573,-
574,574,-
575,575,-
576,576,-
577,577,-
578,578,г.ростов-на-дону троллейбусный 10
579,579,-
580,580,"г. ростов-на-дону, ул. малиновского/каширский"
581,581,-
582,582,346782 г азов пер красноармейский 117 а
583,583,-
584,584,-
585,585,-
586,586,-
587,587,г ростов-на-дону ул ерёменко 48
588,588,г ростов-на-дону ул ерёменко 48
589,589,-
590,590,-
591,591,г.аксай ул.ленин 26
592,592,-
593,593,г.каменск-шахтинский центральный р-к (моб.8-928-166-99-70)
594,594,1
595,595,-
596,596,-
597,597,-
598,598,г.азов пер.волгоградский/ватутин
599,599,-
600,600,р/д пер. крепостной 104
601,601,-
602,602,-
603,603,-
604,604,-
605,605,г.ростов-на-дону пр. космонавт 27/5
606,606,-
607,607,-
608,608,-
609,609,-
610,610,-
611,611,-
612,612,г.ростов-на-дону пр. 40 год победа 73/15
613,613,-
614,614,-
615,615,-
616,616,-
617,617,-
618,618,-
619,619,-
620,620,г.ростов-на-дону ул. врубовый 40 склад 50
621,621,-
622,622,г.ростов-на-дону пр. 40 год победа 37/ж
623,623,"г.ростов-на-дону, пр. шолохова, 88/76"
624,624,-
625,625,-
626,626,-
627,627,-
628,628,-
629,629,-
630,630,-
631,631,-
632,632,-
633,633,-
634,634,-
635,635,"115516,г.москва , кавказский бульвар д.57"
636,636,"115516,г.москва , кавказский бульвар д.57"
637,637,"115516,г.москва , кавказский бульвар д.57"
638,638,-
639,639,г.азов азовский р-к сектор 4 место №38
640,640,-
641,641,г.батайск северный массив 3/1
642,642,-
643,643,-
644,644,-
645,645,рынок классик
646,646,г. новочеркасск пер. багаевский 1а
647,647,-
648,648,г белый калитва ул. светлый 6 кор 10 в
649,649,-
650,650,-
651,651,-
652,652,г.ростов/дон ул.щербаков 2/1
653,653,-
654,654,-
655,655,-
656,656,-
657,657,г. ростов-на-дону ул. чехов 80
658,658,-
659,659,-
660,660,-
661,661,г.ростов н/д ул. станиславский 81
662,662,г азов ул дружба 15 (на даче)
663,663,-
664,664,-
665,665,-
666,666,г. азов ул.куников 34
667,667,-
668,668,-
669,669,-
670,670,г азов ул маяковский 40
671,671,-
672,672,-
673,673,-
674,674,-
675,675,-
676,676,-
677,677,г.ростов-на-дону пр.космонавт 14/15
678,678,-
679,679,рнд ул. каянуть 17
680,680,-
681,681,г аксай ул чапаев 176
682,682,-
683,683,г.донецк ул. 14 микрорайон д.7
684,684,-
685,685,г донецк ул горький 67 а
686,686,г.ростов-на-дону ул.врубовый 36
687,687,-
688,688,-
689,689,-
690,690,-
691,691,-
692,692,-
693,693,-
694,694,"г. ростов-на-дону, ул. жмайлова, 4/5"
695,695,-
696,696,"г.анапа, ул. краснозеленых, 8"
697,697,-
698,698,семик. р-н х. вислый ул. октябрьский 49
699,699,-
700,700,-
701,701,-
702,702,-
703,703,-
704,704,г. ростов-на-дону ул. королёв 1/8
705,705,-
706,706,-
707,707,-
708,708,г ростов-на-дону ул менжинский 4 г
709,709,-
710,710,-
711,711,-
712,712,"г. ростов-на-дону, пер. братский 48\19"
713,713,-
714,714,г. ростов-на-дону ул.семашко 69
715,715,-
716,716,-
717,717,"рост. обл г.донецк ул. казаков 72 (база ""эсмеральда"")"
718,718,-
719,719,г.ростов-н-д королева 21/32
720,720,-
721,721,-
722,722,-
723,723,-
724,724,-
725,725,-
726,726,г.ростов-на-дону ул. малиновский 72/1 кв. 14
727,727,"г.новороссийск, ул.рабочая/маркхотская, 42/36"
728,728,-
729,729,-
730,730,-
731,731,-
732,732,-
733,733,г.ростов/дон ул.тульский 3
734,734,-
735,735,-
736,736,г батайск торговый кольцо пасть №25 32
737,737,г.батайск торговый кольцо пасть №25 32
738,738,-
739,739,-
740,740,г.абинск ул.бойко 56
741,741,-
742,742,г.азов пер. степан разин 9 б
743,743,-
744,744,г. ростов-на-дону ул. селиванов д. 68в
745,745,-
746,746,-
747,747,-
748,748,г.ростов-на-дону пер. днепровский 124/5
749,749,-
750,750,г аксай ул ленин 16а пасть 43
751,751,г.аксай ул. ленин 16а пав. 43
752,752,-
753,753,-
754,754,-
755,755,-
756,756,-
757,757,-
758,758,-
759,759,-
760,760,г.ростов-на-дону ул.ерёменко 103
761,761,-
762,762,344004 г ростов-на-дону ул рабочий пл 1 оф 29
763,763,344004 г ростов-на-дону ул рабочий пл 1 оф 29
764,764,344011 г. ростов-на-дону ул. красноармейский д. 7 к. 71
765,765,-
766,766,-
767,767,"344011, г. ростов-на-дону, ул. красноармейская, д. 7, к. 71"
768,768,-
769,769,-
770,770,344015 г.ростов-на-дону ул.339-й стрелковый дивизия д.31
771,771,344015 г ростов-на-дону ул 339-й стрелковый дивизия далее 31
772,772,"344015, г.ростов-на-дону, ул.339-й стрелковый дивизии, д.31"
773,773,-
774,774,-
775,775,-
776,776,-
777,777,"344015, г.ростов-на-дону, ул.339-й стрелковый дивизии, д.31/31"
778,778,-
779,779,-
780,780,-
781,781,-
782,782,-
783,783,-
784,784,-
785,785,-
786,786,-
787,787,-
788,788,-
789,789,-
790,790,-
791,791,-
792,792,-
793,793,-
794,794,-
795,795,-
796,796,-
797,797,-
798,798,-
799,799,-
800,800,-
801,801,-
802,802,-
803,803,-
804,804,-
805,805,-
806,806,-
807,807,г зверево ул обухов 47 а
808,808,-
809,809,-
810,810,-
811,811,-
812,812,-
813,813,344011 г ростов-на-дону ул ларин 41/19
814,814,344011 г. ростов-на-дону ул.ларин 41/19
815,815,344056 г ростов-на-дону ул вятский д25 комн 12
816,816,344056 г. ростов-на-дону ул. вятский д25 комн. 12
817,817,-
818,818,-
819,819,-
820,820,-
821,821,-
822,822,\344091 г ростов-н/д пр стачка далее 225/1\г ростов-н/д пр стачка 225/1
823,823,344034 г ростов-на-дону ул портовый далее 250/96
824,824,-
825,825,-
826,826,-
827,827,-
828,828,-
829,829,344034 г ростов-на-дону ул портовый далее 250/96
830,830,-
831,831,-
832,832,344034 г. ростов-на-дону ул. портовый д.250/96
833,833,-
834,834,-
835,835,-
836,836,-
837,837,-
838,838,-
839,839,-
840,840,-
841,841,-
842,842,344034 г ростов-на-дону ул портовый далее 250/96
843,843,-
844,844,-
845,845,-
846,846,344034 г ростов-на-дону ул портовый далее 250/96
847,847,"344034 г. ростов-на-дону, ул. портовая, д.250/96"
848,848,-
849,849,-
850,850,-
851,851,-
852,852,-
853,853,-
854,854,-
855,855,-
856,856,-
857,857,-
858,858,-
859,859,344034 г. ростов-на-дону ул. портовый д.250/96
860,860,344034 г ростов-на-дону ул портовый далее 250/96
861,861,-
862,862,-
863,863,-
864,864,344072 г. ростов н/д пр. 40-год победа 63/13 литера аа1
865,865,-
866,866,-
867,867,-
868,868,-
869,869,-
870,870,-
871,871,-
872,872,-
873,873,-
874,874,-
875,875,-
876,876,-
877,877,-
878,878,-
879,879,-
880,880,-
881,881,-
882,882,-
883,883,-
884,884,-
885,885,-
886,886,-
887,887,-
888,888,-
889,889,-
890,890,-
891,891,-
892,892,-
893,893,-
894,894,-
895,895,-
896,896,-
897,897,-
898,898,-
899,899,-
900,900,-
901,901,-
902,902,-
903,903,-
904,904,-
905,905,"344055, г.ростов-на-дону ул.совхозный д. 2 а"
906,906,-
907,907,-
908,908,-
909,909,-
910,910,-
911,911,-
912,912,-
913,913,-
914,914,-
915,915,-
916,916,-
917,917,-
918,918,-
919,919,-
920,920,-
921,921,-
922,922,-
923,923,-
924,924,-
925,925,"344055, г.ростов-на-дону ул.совхозный д. 2 а"
926,926,-
927,927,-
928,928,-
929,929,-
930,930,-
931,931,-
932,932,-
933,933,-
934,934,"344055, г.ростов-на-дону ул.совхозный д. 2 а"
935,935,-
936,936,-
937,937,"344055, г.ростов-на-дону ул.совхозный д. 2 а"
938,938,-
939,939,-
940,940,-
941,941,-
942,942,-
943,943,-
944,944,-
945,945,-
946,946,-
947,947,-
948,948,-
949,949,-
950,950,-
951,951,-
952,952,-
953,953,-
954,954,-
955,955,-
956,956,-
957,957,-
958,958,-
959,959,-
960,960,-
961,961,-
962,962,-
963,963,"344055, г.ростов-на-дону,ул.совхозная, 2 а"
964,964,-
965,965,-
966,966,-
967,967,-
968,968,-
969,969,-
970,970,-
971,971,-
972,972,-
973,973,"344091,г.ростов-на-дон пр.стачка 251 а"
974,974,-
975,975,-
976,976,-
977,977,-
978,978,-
979,979,-
980,980,-
981,981,-
982,982,-
983,983,-
984,984,-
985,985,"344091. г.ростов-на-дону, пр.стачки, 251 а"
986,986,-
987,987,-
988,988,-
989,989,-
990,990,-
991,991,-
992,992,-
993,993,-
994,994,-
995,995,344091 г.ростов-на-дону пр.стачка 251 а
996,996,-
997,997,-
998,998,-
999,999,-
1000,1000,-
1001,1001,-
1002,1002,-
1003,1003,-
1004,1004,-
1005,1005,-
1006,1006,-
1007,1007,-
1008,1008,-
1009,1009,"г.таганрог,ул.прохладная,3/5 ""меркурий"""
1010,1010,-
1011,1011,-
1012,1012,-
1013,1013,"ростовский обл., азовский, с. самарское, бережная, д. 14"
1014,1014,-
1015,1015,-
1016,1016,-
1017,1017,"г.ростов-на-дону, ул. комаров 16/2"
1018,1018,-
1019,1019,"г.ростов-на-дону ул.калитвинский 28 ""б"""
1020,1020,-
1021,1021,г.ростов-на-дону ул.ерёменко 60/10 м-н молоко
1022,1022,-
1023,1023,орский 100/99
1024,1024,-
1025,1025,"г. ростов-на-дону, ул. еременко, 66а"
1026,1026,-
1027,1027,-
1028,1028,"г.ростов н/д,ул.добровольский 20/1"
1029,1029,-
1030,1030,"344011, г. ростов-на-дону, ул.ларин 41/19"
1031,1031,-
1032,1032,"г.ростов-н-д, ул. киргизская, 22"
1033,1033,"г. ростов-на-дону, ул. 339 стрелковый дивизии, 12 ""в"""
1034,1034,-
1035,1035,-
1036,1036,-
1037,1037,-
1038,1038,г.ростов-на-дону ул.волков 3/3
1039,1039,-
1040,1040,-
1041,1041,г.ростов-на-дону ул.оборона 32
1042,1042,-
1043,1043,-
1044,1044,"г. ростов-на-дону, ул. таганрогская,73/4"
1045,1045,таганрог рынок
1046,1046,добровольский 11
1047,1047,-
1048,1048,комаров 3
1049,1049,-
1050,1050,семашко 24
1051,1051,-
1052,1052,-
1053,1053,-
1054,1054,нагибин 6а
1055,1055,-
1056,1056,-
1057,1057,лермонтов 23
1058,1058,"ст. староминская, ул. калинина, д. 26"
1059,1059,"344015, г.ростов-на-дону, ул.339-й стрелковый дивизии, д.31"
1060,1060,боркий 6/2
1061,1061,-
1062,1062,-
1063,1063,-
1064,1064,-
1065,1065,-
1066,1066,-
1067,1067,"г.таганрог, ул.осипенко,48"
1068,1068,-
1069,1069,орбитальный 74
1070,1070,-
1071,1071,-
1072,1072,лермонтов 10
1073,1073,",рост.обл.,аксайский р-н 1005 км"
1074,1074,-
1075,1075,-
1076,1076,батайск 50 год влксм
1077,1077,-
1078,1078,жуков 34
1079,1079,-
1080,1080,доватор 160
1081,1081,-
1082,1082,тролебусный 10
1083,1083,-
1084,1084,-
1085,1085,волгодонск гуров 3
1086,1086,-
1087,1087,-
1088,1088,-
1089,1089,-
1090,1090,-
1091,1091,-
1092,1092,-
1093,1093,-
1094,1094,-
1095,1095,-
1096,1096,-
1097,1097,-
1098,1098,-
1099,1099,-
1100,1100,-
1101,1101,-
1102,1102,-
1103,1103,-
1104,1104,-
1105,1105,-
1106,1106,-
1107,1107,-
1108,1108,-
1109,1109,-
1110,1110,-
1111,1111,-
1112,1112,-
1113,1113,-
1114,1114,-
1115,1115,-
1116,1116,-
1117,1117,-
1118,1118,-
1119,1119,"мясник.рый-н,с.чалтырь,ул.ростовый"
1120,1120,-
1121,1121,-
1122,1122,-
1123,1123,космонавт 7
1124,1124,344112рост н/д ул.1-ой конный армия 38
1125,1125,-
1126,1126,г.таганрог ул.петровский 65
1127,1127,-
1128,1128,"г. таганрог, пер. 7й новый, 98"
1129,1129,-
1130,1130,-
1131,1131,-
1132,1132,-
1133,1133,"г.ростов-на-дону, ул. еременко, 48"
1134,1134,волгодонск рынок
1135,1135,-
1136,1136,-
1137,1137,"г.ростов-на-дону, ул. комаров 16/2"
1138,1138,-
1139,1139,таганрог рынок
1140,1140,-
1141,1141,"г.ростов-на-дону, ул. станиславский 100"
1142,1142,-
1143,1143,-
1144,1144,-
1145,1145,"г.ростов-на-дону, ул.буйнакская, 32"
1146,1146,-
1147,1147,-
1148,1148,-
1149,1149,-
1150,1150,-
1151,1151,-
1152,1152,белый калитва ул. атаев 9а
1153,1153,-
1154,1154,-
1155,1155,портовый 10
1156,1156,-
1157,1157,"347630, ростовская обл., г. сальск, ул. станиславский 95"
1158,1158,-
1159,1159,-
1160,1160,-
1161,1161,"346880 г. батайск, ул. ленина,199 а"
1162,1162,-
1163,1163,-
1164,1164,-
1165,1165,"347800, ростовский обл., г. каменск-шахтинский, ул. герой пионер д. 25"
1166,1166,г.ростов-на-дону ул.врубовый 36
1167,1167,-
1168,1168,-
